,ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
34645,34646,I am a developer by profession,45-54 years old,"Employed, full-time",Remote,Apples,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;School (i.e., University, College, etc)",,,35,25,"Developer, back-end",20 to 99 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,,APIs;Customization;Integrated developer community;Quality support system;Reputation for quality and excellence,Australia,AUD	Australian dollar,180000.0,Bash/Shell (all shells);Ruby;SQL;TypeScript,Bash/Shell (all shells);Ruby;Rust;SQL;TypeScript,Bash/Shell (all shells);Ruby;SQL;TypeScript,PostgreSQL,PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),Node.js;React;Ruby on Rails,Node.js;React;Ruby on Rails,Node.js;React;Ruby on Rails,,,,React Native,React Native,React Native,Terraform,Terraform,Terraform,Neovim;Visual Studio Code,Neovim;Visual Studio Code,Neovim;Visual Studio Code,Debian,MacOS;Other Linux-based,Confluence;Miro;Trello,Confluence;Miro;Trello,Confluence;Miro;Trello,Slack;Zoom,Slack;Zoom,Slack;Zoom,GitHub Copilot;Phind,GitHub Copilot;Phind,GitHub Copilot;Phind,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,"No, not really",Yes,Favorable,Greater efficiency;Speed up learning,Somewhat distrust,Bad at handling complex tasks,Writing code;Debugging and getting help;Search for answers,Documenting code;Testing code,Learning about a codebase;Project planning;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,Writing code;Debugging and getting help;Search for answers,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",Yes,Individual contributor,25.0,Strongly agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Strongly disagree,1-2 times a week,3-5 times a week,Never,15-30 minutes a day,15-30 minutes a day,Complexity of tech stack for deployment;Complexity of tech stack for build,DevOps function;Automated testing;Knowledge sharing community;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Internal Developer portal,"Internet, Telecomm or Information Services",10.0,0.0,10.0,20.0,10.0,20.0,20.0,0.0,10.0,Appropriate in length,Neither easy nor difficult,118919.0,9.0
34817,34818,I code primarily as a hobby,55-64 years old,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Apples,Hobby,"Associate degree (A.A., A.S., etc.)",Online Courses or Certification,,,35,,Engineering manager,,,,,,Australia,,,C#;SQL;VBA;Visual Basic (.Net),C#;SQL;VBA;Visual Basic (.Net),C#;SQL;VBA;Visual Basic (.Net),Microsoft Access;Microsoft SQL Server,Microsoft Access;Microsoft SQL Server,Microsoft Access;Microsoft SQL Server,,,,WordPress,,,Arduino;Rasberry Pi,Arduino;Rasberry Pi,Arduino;Rasberry Pi,,,,Unity 3D;Visual Studio Solution,Unity 3D;Visual Studio Solution,Unity 3D;Visual Studio Solution,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Windows,,,,Microsoft Teams;Whatsapp,Microsoft Teams;Whatsapp,Microsoft Teams;Whatsapp,ChatGPT;Perplexity AI,ChatGPT;Perplexity AI,ChatGPT;Perplexity AI,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,A few times per month or weekly,Quickly finding code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely",Yes,Very favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Somewhat trust,Very poor at handling complex tasks,Learning about a codebase;Writing code,Debugging and getting help;Testing code;Search for answers;Generating content or synthetic data,Project planning;Documenting code;Committing and reviewing code;Deployment and monitoring;Predictive analytics,,,Learning about a codebase;Writing code,,,No,,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
34845,34846,I am learning to code,18-24 years old,"Student, full-time;Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Other (please specify):;School or academic work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Other (please specify):","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);How-to videos;AI;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;Other (please specify):,3,,"Developer, game or graphics",,,,,,Australia,,,C;Go;HTML/CSS;JavaScript;Lua;Python;Zig,Assembly;C;Cobol;Go;Lua;OCaml;Python;Rust;Zig,C;Go;Lua;Python;Zig,,,,Firebase,,,Htmx,Htmx,Htmx,CMake;GNU GCC;LLVM's Clang;Ninja,GNU GCC;LLVM's Clang,GNU GCC;LLVM's Clang,,,,Chocolatey;Make;Ninja;npm;Pip,Chocolatey;Pip,Chocolatey;Pip,Neovim;Vim;Visual Studio Code,Neovim,Neovim,Windows,Windows,Markdown File,Markdown File;Trello,Markdown File,Discord;Zoom,Discord,Discord,ChatGPT,,,Stack Overflow,A few times per month or weekly,No,,Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"No, not really","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
34848,34849,I code primarily as a hobby,Under 18 years old,"Student, part-time",,Apples,,Primary/elementary school,"Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Written Tutorials;Stack Overflow,API document(s) and/or SDK document(s);Traditional public search engine,7,,Student,,,,,,Australia,,,C++;GDScript;Python,C#;C++;GDScript;Rust,C++;GDScript,,,,,,,,,,,,,,,,Godot,Godot;Unity 3D;Visual Studio Solution,Godot,Code::Blocks;Notepad++,Code::Blocks;Notepad++;Visual Studio,Code::Blocks;Notepad++,Windows,,,,,,,,,,,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Learning new-to-me technology/techniques,"No, not really","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
34856,34857,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Student, full-time;Employed, part-time","Hybrid (some remote, some in-person)",Apples,Hobby;School or academic work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,4,Less than 1 year,Student,I don’t know,I have little or no influence,Ask developers I know/work with;Ask a generative AI tool;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have advertised on sites I visit,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Reputation for quality and excellence;Connected to an open source project,Australia,AUD	Australian dollar,,Bash/Shell (all shells);GDScript;Java;Python;R;TypeScript,Assembly;Bash/Shell (all shells);C;GDScript;Java;Python;SQL,Bash/Shell (all shells);GDScript;Java;Python,MySQL,,,Amazon Web Services (AWS);Cloudflare;Google Cloud,Cloudflare,Cloudflare,,,,Arduino;CMake;GNU GCC,Arduino;CMake;GNU GCC;Rasberry Pi,Arduino;CMake;GNU GCC,Hugging Face Transformers;Keras;NumPy;Opencv;Scikit-Learn;TensorFlow;Tidyverse;Torch/PyTorch,Keras;NumPy;Opencv;OpenGL;TensorFlow;Torch/PyTorch,Keras;NumPy;Opencv;TensorFlow;Torch/PyTorch,APT;Chocolatey;Godot;Gradle;Maven (build tool);npm;Pip;Unity 3D;Visual Studio Solution,APT;Godot;npm;Pip,APT;Godot;npm;Pip,Code::Blocks;IntelliJ IDEA;Jupyter Notebook/JupyterLab;RStudio;Vim;Visual Studio;Visual Studio Code,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Vim;Visual Studio;Visual Studio Code,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Vim;Visual Studio;Visual Studio Code,iOS;Windows;Windows Subsystem for Linux (WSL),Other Linux-based;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Markdown File;Obsidian,Markdown File;Obsidian,Markdown File;Obsidian,Discord,Discord,Discord,Bing AI;ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"Yes, somewhat",Yes,Unsure,Speed up learning;Improve accuracy in coding,Somewhat distrust,"Good, but not great at handling complex tasks",Debugging and getting help,Search for answers,Learning about a codebase;Project planning;Writing code;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,Debugging and getting help,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,,
34971,34972,"I used to be a developer by profession, but no longer am",45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)","Technical documentation;Blogs;Written Tutorials;Stack Overflow;AI;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;Other (please specify):,41,,Engineering manager,,,,,,Australia,,,,,,,,,Amazon Web Services (AWS);Cloudflare,Amazon Web Services (AWS);Cloudflare,Amazon Web Services (AWS);Cloudflare,,,,,,,,,,Homebrew,Homebrew;Kubernetes;Nix;pnpm,Homebrew,Visual Studio Code,Visual Studio Code;Xcode,Visual Studio Code,MacOS,MacOS,Confluence;Jira;Markdown File;Miro;Obsidian;Trello,Markdown File;Obsidian;Trello,Markdown File;Obsidian;Trello,Google Meet;Slack;Zoom,Google Meet;Slack;Zoom,Google Meet;Slack;Zoom,,,,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"No, not really","No, but I plan to soon",Indifferent,,,,,,,,,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks",Yes,People manager,26.0,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,,Agree,Disagree,1-2 times a week,3-5 times a week,1-2 times a week,Less than 15 minutes a day,15-30 minutes a day,Amount of technical debt;Number of software tools in use;Maintaining security of code being produced;Patching/updating core components;Maintaining security of systems/platforms used in work,Automated testing;Observability tools;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Slack search,Media & Advertising Services,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,Appropriate in length,,,8.0
34998,34999,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Books;Written Tutorials;Stack Overflow;Social Media,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,27,21,"Developer, full-stack",20 to 99 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Integrated developer community;Quality support system,Australia,AUD	Australian dollar,180000.0,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Lua;Python;SQL,Assembly;Bash/Shell (all shells);C;C++;Julia;Lisp;Lua,Assembly;Bash/Shell (all shells);C;C++;Lua,PostgreSQL,PostgreSQL,PostgreSQL,,,,jQuery,,,Arduino;MSVC,Arduino;CMake;cppunit;GNU GCC;MSVC,Arduino;MSVC,MFC;Opencv,Opencv,Opencv,APT;Google Test;MSBuild;Visual Studio Solution,APT;Google Test;MSBuild;Visual Studio Solution,APT;Google Test;MSBuild;Visual Studio Solution,Visual Studio;Visual Studio Code,Code::Blocks;Emacs;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Debian,Windows;Windows Subsystem for Linux (WSL),Azure Devops;Jira,Jira,Jira,Microsoft Teams,,,,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, somewhat","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,21.0,Neither agree nor disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Never,Never,10+ times a week,30-60 minutes a day,60-120 minutes a day,Amount of technical debt;Reliability of tools/systems used in work,Automated testing,On-prem,"Do search of internal share drives/storage locations for documentation (i.e., not a structured knowledge base)",Software Development,10.0,0.0,5.0,35.0,15.0,10.0,20.0,5.0,0.0,Appropriate in length,Neither easy nor difficult,118919.0,7.0
35006,35007,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Under 18 years old,"Student, full-time",,Apples,,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Books;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Video-based Online Courses;AI,,8,,Student,,,,,,Australia,,,C;C#;C++;HTML/CSS;Python,C;C#;C++;Python,C;C#;C++;Python,,,,,,,,,,Arduino;CMake;Rasberry Pi,Arduino;CMake;Rasberry Pi,Arduino;CMake;Rasberry Pi,CUDA;NumPy;OpenCL;OpenGL,CUDA;NumPy;OpenCL;OpenGL,CUDA;NumPy;OpenCL;OpenGL,Pip;Unity 3D;Unreal Engine;Visual Studio Solution,Pip;Unity 3D;Unreal Engine;Visual Studio Solution,Pip;Unity 3D;Unreal Engine;Visual Studio Solution,Geany;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Other Linux-based;Ubuntu;Windows;Windows Subsystem for Linux (WSL),,,,,Discord;Microsoft Teams,Discord;Microsoft Teams,Discord;Microsoft Teams,Bing AI;ChatGPT;Visual Studio Intellicode,ChatGPT;Visual Studio Intellicode,ChatGPT;Visual Studio Intellicode,Stack Overflow,Daily or almost daily,Not sure/can't remember,,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"No, not really",Yes,Unfavorable,Increase productivity;Greater efficiency;Speed up learning;Make workload more manageable,Highly distrust,Very poor at handling complex tasks,Writing code,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,,,,Writing code,,,No,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,,
35023,35024,I am learning to code,Under 18 years old,"Not employed, and not looking for work",,Apples,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification;Coding Bootcamp",Technical documentation;Written Tutorials;Stack Overflow;Written-based Online Courses;AI,API document(s) and/or SDK document(s);Traditional public search engine;AI-powered search/dev tool (free),2,,Student,,,,,,Australia,,,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript;Visual Basic (.Net),Bash/Shell (all shells);HTML/CSS;JavaScript,Firebase Realtime Database;MongoDB,Cloud Firestore;MySQL;SQLite,,Google Cloud,,,Node.js,Node.js;Svelte,Node.js,,,,Electron,Electron,Electron,Webpack,Webpack,Webpack,Visual Studio Code,Visual Studio Code,Visual Studio Code,Windows,iOS;iPadOS;Windows,Markdown File;Trello,Markdown File;Trello,Markdown File;Trello,,,,ChatGPT,ChatGPT;GitHub Copilot;OpenAI Codex;WolframAlpha,ChatGPT,Stack Overflow;Stack Exchange,A few times per week,No,,Quickly finding code solutions;Learning new-to-me technology/techniques,"No, not at all","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
35035,35036,I am learning to code,18-24 years old,"Student, full-time;Not employed, and not looking for work",,Apples,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Friend or family member",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Social Media;Interactive tutorial;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (free),4,,Student,,,,,,Australia,,,Groovy;HTML/CSS;Java;JavaScript;Python;SQL;Swift,Assembly;Bash/Shell (all shells);C#;C++;Elixir;Groovy;HTML/CSS;JavaScript;Kotlin;Python;SQL;Swift;Visual Basic (.Net),Groovy;HTML/CSS;JavaScript;Python;SQL;Swift,MySQL;SQLite,,,"Cloudflare;Google Cloud;Linode, now Akamai;Managed Hosting;VMware",Cloudflare;Google Cloud,Cloudflare;Google Cloud,Node.js;Vue.js,Angular;AngularJS;Django;Node.js;React;Svelte,Node.js,CMake,,,CUDA;NumPy;Pandas;Scikit-Learn;SwiftUI;Torch/PyTorch,.NET (5+) ;NumPy;Pandas;Scikit-Learn;SwiftUI;Torch/PyTorch,NumPy;Pandas;Scikit-Learn;SwiftUI;Torch/PyTorch,Docker;Gradle;Make;Maven (build tool);npm;Pip,Docker;Gradle;Make;Maven (build tool);npm;Pip,Docker;Gradle;Make;Maven (build tool);npm;Pip,Android Studio;Jupyter Notebook/JupyterLab;Vim;Visual Studio Code;Xcode,Jupyter Notebook/JupyterLab;Visual Studio Code;Xcode,Jupyter Notebook/JupyterLab;Visual Studio Code;Xcode,iOS;MacOS,MacOS;Other Linux-based;Ubuntu;Windows,Markdown File;Notion,Markdown File;Notion;Obsidian,Markdown File;Notion,Cisco Webex Teams;Discord;Microsoft Teams;Slack,Discord,Discord,ChatGPT;Claude;Visual Studio Intellicode,ChatGPT;Claude;GitHub Copilot;Visual Studio Intellicode,ChatGPT;Claude;Visual Studio Intellicode,Stack Overflow,A few times per week,No,,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"No, not really",Yes,Favorable,Increase productivity;Greater efficiency;Make workload more manageable,Neither trust nor distrust,"Good, but not great at handling complex tasks",Learning about a codebase;Writing code;Debugging and getting help;Search for answers,Project planning;Committing and reviewing code;Deployment and monitoring;Predictive analytics,Documenting code;Testing code;Generating content or synthetic data;Other (please specify):,,,Learning about a codebase;Writing code;Debugging and getting help;Search for answers,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints,Don’t trust the output or answers;Lack of proper training and education on new tools;Not everyone uses them;We don’t have the right policies in place to reduce security risks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,,
35087,35088,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Contribute to open-source projects;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",On the job training;Online Courses or Certification,,,22,18,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have some influence,Start a free trial;Ask developers I know/work with,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Frequent updates to features,Australia,AUD	Australian dollar,300000.0,Apex;Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;SQL,Apex;Bash/Shell (all shells);HTML/CSS;JavaScript;SQL,Apex;Bash/Shell (all shells);HTML/CSS;JavaScript;SQL,Oracle,Oracle,Oracle,Amazon Web Services (AWS);Microsoft Azure;Oracle Cloud Infrastructure (OCI);VMware,Amazon Web Services (AWS);Microsoft Azure;Oracle Cloud Infrastructure (OCI),Amazon Web Services (AWS);Microsoft Azure;Oracle Cloud Infrastructure (OCI),jQuery,jQuery,jQuery,,,,,,,,,,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,MacOS;Windows,Cygwin;MacOS;Windows,Confluence;Jira;Trello,Confluence;Jira;Trello,Confluence;Jira;Trello,Google Meet;Skype;Slack;Whatsapp;Zoom,Google Meet;Skype;Slack;Whatsapp;Zoom,Google Meet;Skype;Slack;Whatsapp;Zoom,,,,Stack Overflow,Less than once per month or monthly,No,,Quickly finding code solutions,"No, not at all","No, but I plan to soon",Very favorable,,,,,,,,,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints,Don’t trust the output or answers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Easy,198198.0,
35221,35222,I code primarily as a hobby,Under 18 years old,"Not employed, but looking for work",,Apples,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;AI,User guides or README files found in the source repository,3,,"Developer, full-stack",,,,,,Australia,,,HTML/CSS;JavaScript;Python,Lua;MATLAB;MicroPython;Rust,,,,,,,,,,,Arduino;Rasberry Pi,Cargo,,Electron;NumPy;Opencv,OpenGL;Pandas,,npm,Ansible;Docker;Godot;Kubernetes,,Visual Studio,Neovim,,Ubuntu,Ubuntu,Markdown File,GitHub Discussions,,Discord;IRC;Matrix,Signal,,ChatGPT,,,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,Neutral,Yes,Favorable,Increase productivity;Speed up learning;Make workload more manageable,Neither trust nor distrust,Neither good or bad at handling complex tasks,Writing code;Debugging and getting help;Search for answers,Learning about a codebase;Project planning;Documenting code;Testing code,Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,Debugging and getting help,Writing code,Search for answers,,,Yes,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints,Don’t trust the output or answers;Lack of proper training and education on new tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
